"","Date","country","searches"
"158","2003-02-02","Japan",NA
"159","2003-02-02","Mexico",NA
"160","2003-02-02","Netherlands",NA
"161","2003-02-02","New.Zealand",NA
"162","2003-02-02","Norway",NA
"163","2003-02-02","Paraguay",NA
"164","2003-02-02","Peru",227
"165","2003-02-02","Poland",NA
"166","2003-02-02","Romania",NA
"167","2003-02-02","Russia",NA
"168","2003-02-02","South.Africa",NA
"169","2003-02-02","Spain",NA
"170","2003-02-02","Sweden",NA
"171","2003-02-02","Switzerland",NA
"172","2003-02-02","Ukraine",NA
"173","2003-02-02","United.States",NA
"174","2003-02-02","Uruguay",NA
"175","2003-02-09","Argentina",145
"176","2003-02-09","Australia",NA
"177","2003-02-09","Austria",NA
"178","2003-02-09","Belgium",NA
"179","2003-02-09","Bolivia",NA
"180","2003-02-09","Brazil",184
"181","2003-02-09","Bulgaria",NA
"182","2003-02-09","Canada",NA
"183","2003-02-09","Chile",0
"184","2003-02-09","France",NA
"185","2003-02-09","Germany",NA
"186","2003-02-09","Hungary",NA
"187","2003-02-09","Japan",NA
"188","2003-02-09","Mexico",NA
"189","2003-02-09","Netherlands",NA
"190","2003-02-09","New.Zealand",NA
"191","2003-02-09","Norway",NA
"192","2003-02-09","Paraguay",NA
"193","2003-02-09","Peru",250
"194","2003-02-09","Poland",NA
"195","2003-02-09","Romania",664
"196","2003-02-09","Russia",NA
"197","2003-02-09","South.Africa",NA
"198","2003-02-09","Spain",NA
"199","2003-02-09","Sweden",NA
"200","2003-02-09","Switzerland",NA
"201","2003-02-09","Ukraine",NA
"202","2003-02-09","United.States",NA
"203","2003-02-09","Uruguay",NA
"204","2003-02-16","Argentina",141
"205","2003-02-16","Australia",NA
"206","2003-02-16","Austria",NA
"207","2003-02-16","Belgium",NA
"208","2003-02-16","Bolivia",NA
"209","2003-02-16","Brazil",162
"210","2003-02-16","Bulgaria",NA
"211","2003-02-16","Canada",NA
"212","2003-02-16","Chile",0
"213","2003-02-16","France",NA
"214","2003-02-16","Germany",NA
"215","2003-02-16","Hungary",NA
"216","2003-02-16","Japan",NA
"217","2003-02-16","Mexico",NA
"218","2003-02-16","Netherlands",NA
